Experiment,Runtime (seconds)
ACSF1Experiment,412.672
AdiacExperiment,495.58000000000004
ArrowHeadExperiment,26.964
BMEExperiment,17.528
BeefExperiment,34.708
BeetleFlyExperiment,36.6
BirdChickenExperiment,30.913999999999998
CBFExperiment,20.254
CarExperiment,53.544000000000004
ToeSegmentation1Experiment,32.158
ToeSegmentation2Experiment,34.86
TraceExperiment,61.852
TwoLeadECGExperiment,19.708
UWaveGestureLibraryZExperiment,1178.2275
WaferExperiment,333.27200000000005
WineExperiment,30.856
WordSynonymsExperiment,296.48400000000004
WormsExperiment,590.7479999999999
WormsTwoClassExperiment,597.216
YogaExperiment,376.75
